what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437182719
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437185868
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437199390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437201971
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437228358
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437228807
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437236007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437248436
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437271645
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437271983
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437274348
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229437281694
started,bundle,org.eclipse.jst.j2ee.ui,1.1.203.v200809102205,org.eclipse.jst.j2ee.ui,1229437286169
started,bundle,org.eclipse.jst.j2ee.core,1.1.201.v200808071630,org.eclipse.jst.j2ee.core,1229437286180
started,bundle,org.eclipse.jem,2.0.201.v200806201600,org.eclipse.jem,1229437286196
started,bundle,org.eclipse.jst.jee,1.0.101.v200807240600,org.eclipse.jst.jee,1229437286315
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1229437286336
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1229437286356
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1229437286358
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1229437286412
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1229437286422
started,bundle,org.eclipse.jst.j2ee,1.1.203.v200809102205,org.eclipse.jst.j2ee,1229437286439
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1229437286452
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1229437286454
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1229437286537
